역별 여객수송실적(월),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
연월,역명/열차종별,합계_승차수(명),합계_하차수(명),KTX_승차수(명),KTX_하차수(명),새마을_승차수(명),새마을_하차수(명),무궁화_승차수(명),무궁화_하차수(명)),통근열차_승차수(명),통근열차_하차수(명),누리로_승차수(명),누리로_하차수(명),KTX산천_승차수(명),KTX산천_하차수(명),ITX새마을_승차수(명),ITX새마을_하차수(명),ITX청춘열차_승차수(명),ITX청춘열차_하차수(명),KTX호남_승차수(명),KTX호남_하차수(명)
202002,강릉,79277,78448,0,0,0,0,6281,7563,0,0,0,0,0,0,0,0,0,0,72996,70885
202002,별어곡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,선평,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,정선,39,47,0,0,39,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,나전,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,아우라지,6,9,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,쌍룡,92,38,0,0,0,0,92,38,0,0,0,0,0,0,0,0,0,0,0,0
202002,영월,3885,3385,0,0,4,2,3881,3383,0,0,0,0,0,0,0,0,0,0,0,0
202002,예미,893,787,0,0,6,2,887,785,0,0,0,0,0,0,0,0,0,0,0,0
202002,민둥산,905,1138,0,0,1,2,904,1136,0,0,0,0,0,0,0,0,0,0,0,0
202002,사북,5061,4925,0,0,0,0,5061,4925,0,0,0,0,0,0,0,0,0,0,0,0
202002,고한,3399,3037,0,0,0,0,3399,3037,0,0,0,0,0,0,0,0,0,0,0,0
202002,추전,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,태백,7383,7422,0,0,0,0,7383,7422,0,0,0,0,0,0,0,0,0,0,0,0
202002,부전,31478,32359,0,0,0,0,31049,31936,0,0,0,0,0,0,429,423,0,0,0,0
202002,센텀,6077,5585,0,0,0,0,6077,5585,0,0,0,0,0,0,0,0,0,0,0,0
202002,신해운대,8663,9128,0,0,0,0,7503,7864,0,0,0,0,0,0,1160,1264,0,0,0,0
202002,기장,6955,6972,0,0,0,0,6955,6972,0,0,0,0,0,0,0,0,0,0,0,0
202002,좌천,2814,2941,0,0,0,0,2814,2941,0,0,0,0,0,0,0,0,0,0,0,0
202002,남창,9371,8858,0,0,0,0,9371,8858,0,0,0,0,0,0,0,0,0,0,0,0
202002,덕하,2345,2231,0,0,0,0,2345,2231,0,0,0,0,0,0,0,0,0,0,0,0
202002,태화강,34547,34734,0,0,0,0,34547,34734,0,0,0,0,0,0,0,0,0,0,0,0
202002,호계,16507,16435,0,0,0,0,16507,16435,0,0,0,0,0,0,0,0,0,0,0,0
202002,불국사,3198,3088,0,0,0,0,3198,3088,0,0,0,0,0,0,0,0,0,0,0,0
202002,경주,21531,22431,0,0,0,0,21531,22431,0,0,0,0,0,0,0,0,0,0,0,0
202002,안강,372,381,0,0,0,0,372,381,0,0,0,0,0,0,0,0,0,0,0,0
202002,하양,13243,11827,0,0,0,0,13243,11827,0,0,0,0,0,0,0,0,0,0,0,0
202002,한림정,314,354,0,0,0,0,314,354,0,0,0,0,0,0,0,0,0,0,0,0
202002,진영,10828,10510,2756,2603,64,57,3509,3861,0,0,0,0,3571,3256,928,733,0,0,0,0
202002,창원,14138,14125,3925,3950,0,0,4499,4494,0,0,0,0,4752,4103,945,869,0,0,17,709
202002,마산,26227,25760,9922,10061,107,122,5314,5819,0,0,0,0,9602,8010,1027,1008,0,0,255,740
202002,중리,1185,1103,0,0,0,0,1185,1103,0,0,0,0,0,0,0,0,0,0,0,0
202002,함안,1081,1024,0,0,0,0,798,821,0,0,0,0,0,0,283,203,0,0,0,0
202002,군북,1412,1254,0,0,0,0,1412,1254,0,0,0,0,0,0,0,0,0,0,0,0
202002,반성,571,580,0,0,0,0,571,580,0,0,0,0,0,0,0,0,0,0,0,0
202002,진주,14836,14925,5121,5559,214,181,4885,5195,0,0,0,0,2595,2368,1599,894,0,0,422,728
202002,완사,144,160,0,0,0,0,144,160,0,0,0,0,0,0,0,0,0,0,0,0
202002,북천,230,225,0,0,9,15,221,210,0,0,0,0,0,0,0,0,0,0,0,0
202002,횡천,361,366,0,0,0,0,361,366,0,0,0,0,0,0,0,0,0,0,0,0
202002,하동,1575,1601,0,0,91,74,1484,1527,0,0,0,0,0,0,0,0,0,0,0,0
202002,진상,284,286,0,0,0,0,284,286,0,0,0,0,0,0,0,0,0,0,0,0
202002,광양,480,552,0,0,0,0,480,552,0,0,0,0,0,0,0,0,0,0,0,0
202002,벌교,414,381,0,0,39,38,375,343,0,0,0,0,0,0,0,0,0,0,0,0
202002,조성,258,182,0,0,0,0,258,182,0,0,0,0,0,0,0,0,0,0,0,0
202002,예당,282,202,0,0,0,0,282,202,0,0,0,0,0,0,0,0,0,0,0,0
202002,득량,356,266,0,0,11,12,345,254,0,0,0,0,0,0,0,0,0,0,0,0
202002,보성,1529,1543,0,0,72,73,1457,1470,0,0,0,0,0,0,0,0,0,0,0,0
202002,명봉,65,68,0,0,0,0,65,68,0,0,0,0,0,0,0,0,0,0,0,0
202002,이양,130,123,0,0,0,0,130,123,0,0,0,0,0,0,0,0,0,0,0,0
202002,능주,88,101,0,0,0,0,88,101,0,0,0,0,0,0,0,0,0,0,0,0
202002,화순,457,532,0,0,0,0,457,532,0,0,0,0,0,0,0,0,0,0,0,0
202002,효천,508,458,0,0,0,0,508,458,0,0,0,0,0,0,0,0,0,0,0,0
202002,서광주,363,334,0,0,0,0,363,334,0,0,0,0,0,0,0,0,0,0,0,0
202002,광명,245985,245310,171299,174560,0,0,0,0,0,0,0,0,61737,62485,0,0,0,0,3266,1994
202002,천안아산,133756,128648,99470,94109,0,0,0,0,0,0,0,0,32474,32395,0,0,0,0,1812,2144
202002,김천구미,39672,39631,31081,32065,0,0,0,0,0,0,0,0,7696,6352,0,0,0,0,895,1214
